article,views,rank,month
Diana_de_Gales,716062,16,11
Margaret_Thatcher,698572,17,11
Revolución_mexicana,665038,18,11
Selena,1462578,4,12
Isabel_II_del_Reino_Unido,1233608,5,12
Margarita_del_Reino_Unido,773701,6,12
Felipe_de_Edimburgo,638188,7,12
Tabla_periódica_de_los_elementos,632094,8,12
The_Mandalorian,570178,9,12
Elliot_Page,548058,10,12
Diego_Maradona,532856,11,12
Gambito_de_dama_(miniserie),525567,12,12
Armando_Manzanero,509589,13,12
Diana_de_Gales,504975,14,12
Facebook,489687,15,12
Anya_Taylor-Joy,487292,16,12
Yolanda_Saldívar,475102,18,12
Carlos_de_Gales,465806,19,12
