article,timestamp,views
Freddie_Mercury,2019010500,14150
Freddie_Mercury,2019010600,17515
Freddie_Mercury,2019010700,25223
Freddie_Mercury,2019010800,16190
Freddie_Mercury,2019010900,15530
Freddie_Mercury,2019011000,14825
Freddie_Mercury,2019011100,13836
Freddie_Mercury,2019011200,18202
Freddie_Mercury,2019011300,21618
Freddie_Mercury,2019011400,16482
Freddie_Mercury,2019011500,16167
Freddie_Mercury,2019011600,16223
Freddie_Mercury,2019011700,19050
Freddie_Mercury,2019011800,17994
Freddie_Mercury,2019011900,25295
Freddie_Mercury,2019012000,33571
Freddie_Mercury,2019012100,24300
Freddie_Mercury,2019012200,19244
Freddie_Mercury,2019012300,24128
Freddie_Mercury,2019012400,23921
Freddie_Mercury,2019012500,22921
Freddie_Mercury,2019012600,31702
Freddie_Mercury,2019012700,42415
Freddie_Mercury,2019012800,32497
Freddie_Mercury,2019012900,22314
Freddie_Mercury,2019013000,20707
Freddie_Mercury,2019013100,19737
Presidente_de_Venezuela,2019010100,294
Presidente_de_Venezuela,2019010200,393
Presidente_de_Venezuela,2019010300,398
Presidente_de_Venezuela,2019010400,490
Presidente_de_Venezuela,2019010500,671
Presidente_de_Venezuela,2019010600,634
Presidente_de_Venezuela,2019010700,718
Presidente_de_Venezuela,2019010800,819
Presidente_de_Venezuela,2019010900,1021
Presidente_de_Venezuela,2019011000,3333
Presidente_de_Venezuela,2019011100,85179
Presidente_de_Venezuela,2019011200,95342
Presidente_de_Venezuela,2019011300,25489
Presidente_de_Venezuela,2019011400,15506
Presidente_de_Venezuela,2019011500,6894
Presidente_de_Venezuela,2019011600,5061
Presidente_de_Venezuela,2019011700,4236
Presidente_de_Venezuela,2019011800,2901
Presidente_de_Venezuela,2019011900,2227
Presidente_de_Venezuela,2019012000,2075
Presidente_de_Venezuela,2019012100,2212
Presidente_de_Venezuela,2019012200,2300
Presidente_de_Venezuela,2019012300,66561
Presidente_de_Venezuela,2019012400,69232
Presidente_de_Venezuela,2019012500,62544
Presidente_de_Venezuela,2019012600,37795
Presidente_de_Venezuela,2019012700,28963
Presidente_de_Venezuela,2019012800,20451
Presidente_de_Venezuela,2019012900,25922
Presidente_de_Venezuela,2019013000,15098
Presidente_de_Venezuela,2019013100,11243
Venezuela,2019010100,2494
Venezuela,2019010200,3183
Venezuela,2019010300,3201
Venezuela,2019010400,3298
Venezuela,2019010500,3443
