article,views,rank
Avengers:_Endgame,1441378,4
Accidente_de_Chernóbil,1067994,5
Día_Mundial_Sin_Tabaco,794646,7
Día_Internacional_de_los_Trabajadores,765393,9
Caso_Colmenares,747584,10
Alfredo_Pérez_Rubalcaba,707848,11
Game_of_Thrones,651556,13
Signo_zodiacal,638482,14
Revolución_de_Mayo,634190,15
Día_de_la_Madre,600057,17
Segunda_Guerra_Mundial,521713,18
Tabla_periódica_de_los_elementos,515177,19
Universo_cinematográfico_de_Marvel,500853,20
Ted_Bundy,490649,21
Robert_Downey_Jr.,490382,22
