article,views,rank
Independencia_de_México,1245980,3
Camilo_Sesto,1151494,4
José_José,889674,5
Signo_zodiacal,816185,6
Niños_Héroes,768190,8
Blanca_Fernández_Ochoa,736794,9
Tabla_periódica_de_los_elementos,617876,10
Élite_(serie_de_televisión),559603,11
Copa_Mundial_de_Baloncesto_de_2019,541122,12
Greta_Thunberg,536874,13
Atentados_del_11_de_septiembre_de_2001,535271,14
Simón_Bolívar,505159,15
Rafael_Nadal,503487,16
Ricky_Rubio,395334,17
Copa_Mundial_de_Baloncesto,394359,18
