article,views,rank
Revolución_mexicana,1052328,3
Enrique_V_de_Inglaterra,724175,5
Evo_Morales,653575,6
Tabla_periódica_de_los_elementos,633162,7
Día_de_Acción_de_Gracias,622863,8
Isabel_II_del_Reino_Unido,614286,9
Signo_zodiacal,502479,10
Facebook,438820,11
Joker_(película),437204,12
Día_de_Muertos,413900,13
Simón_Bolívar,402830,14
Muro_de_Berlín,386629,15
Segunda_Guerra_Mundial,371649,16
Santiago_Abascal_Conde,350769,17
Margarita_del_Reino_Unido,333895,18
