article,views,rank
Ted_Bundy,669512,4
The_Witcher_(serie_de_televisión),641251,5
Greta_Thunberg,624851,6
Jimmy_Hoffa,599145,7
Facebook,556982,8
The_Mandalorian,542866,9
Star_Wars,525533,11
Isabel_II_del_Reino_Unido,520916,12
Navidad,446275,13
Benedicto_XVI,397766,14
Star_Wars:_Episodio_IX_-_El_ascenso_de_Skywalker,397364,15
Copa_Libertadores_2020,362385,16
Miss_Universo_2019,340402,17
Signo_zodiacal,339737,18
Francisco_(papa),328442,19
