article,views,rank
Cameron_Boyce,3620120,3
Signo_zodiacal,940452,5
La_casa_de_papel,928312,6
Simón_Bolívar,921440,7
Stranger_Things,907384,8
Área_51,799986,10
Accidente_de_Chernóbil,738024,11
Copa_América,732763,12
Millie_Bobby_Brown,641518,13
Copa_América_2019,573695,15
Juegos_Panamericanos_de_2019,547551,16
Apolo_11,524673,17
Roger_Federer,504582,18
Manuela_Sáenz,430488,20
Pansexualidad,416046,22
