article,views,rank
Joaquin_Phoenix,1548057,3
Signo_zodiacal,1536929,4
Joker_(película),1398616,5
Descubrimiento_de_América,862207,6
Tabla_periódica_de_los_elementos,810213,7
Día_de_la_Raza,807234,8
José_José,757573,9
Día_de_Muertos,665550,10
Régimen_de_excepción,614710,12
Simón_Bolívar,592263,13
Elecciones_presidenciales_de_Argentina_de_2019,557280,14
Francisco_Franco,512290,15
Halloween,503658,16
Heath_Ledger,494438,17
Altar_de_muertos,493533,18
