article,views,rank
Día_Internacional_de_la_Mujer,1867960,3
Silvia_Pinal,955427,5
Freddie_Mercury,664497,7
Capitana_Marvel_(película),615011,8
Signo_zodiacal,569553,9
Christian_Bach,557527,11
Kayden_Boche,557243,12
Luke_Perry,526559,13
Tabla_periódica_de_los_elementos,507442,14
Segunda_Guerra_Mundial,497993,15
Primera_Guerra_Mundial,486151,16
Expropiación_del_petróleo_en_México,453021,17
Benito_Juárez,445260,18
Backstreet_Boys,439912,19
Frida_Kahlo,420225,21
