article,views,rank
Freddie_Mercury,814442,4
Signo_zodiacal,777614,5
Día_de_San_Valentín,746059,6
Emiliano_Sala,656999,7
Kayden_Boche,532688,11
Lady_Gaga,494671,12
Roma_(película_de_2018),473451,13
Silvia_Pinal,470883,14
Tabla_periódica_de_los_elementos,467882,15
Natacha_Jaitt,466668,16
Primera_Guerra_Mundial,428867,18
Arcadi_Espada,406125,19
Alfonso_Cuarón,403456,20
Rami_Malek,399335,21
Nicolás_Maduro,396253,22
